site_datatype_id,site_id,datatype_id,site_metadata.site_id,site_metadata.site_name,site_metadata.site_common_name,site_metadata.description,site_metadata.elevation,site_metadata.lat,site_metadata.longi,site_metadata.db_site_code,site_metadata.objecttype_id,site_metadata.objecttype_name,site_metadata.basin_id,site_metadata.hydrologic_unit,site_metadata.river_mile,site_metadata.segment_no,site_metadata.state_id,site_metadata.state_code,site_metadata.usgs_id,site_metadata.nws_code,site_metadata.shef_code,site_metadata.scs_id,site_metadata.parent_objecttype_id,site_metadata.parent_site_id,datatype_metadata.datatype_id,datatype_metadata.datatype_name,datatype_metadata.datatype_common_name,datatype_metadata.physical_quantity_name,datatype_metadata.unit_id,datatype_metadata.unit_name,datatype_metadata.unit_common_name,datatype_metadata.allowable_intervals,datatype_metadata.agen_id,datatype_metadata.cmmnt,last_meas_date,last_meas_val
24047,937,15,937,BRANTLEY LAKE,BRANTLEY,,3249.0,32.5442,-104.3814,UC,7,,19,130600111003.0,0.0,0,31,,,,,,0,0,15,"reservoir bank storage, end of period reading",bank storage,bank storage,1,acre-feet,acre-feet,either,0,,,
19744,2686,30,2686,HERON RESERVOIR,HERON,,7157.0,36.6973,-106.6992,UC,7,,18,130201020305.0,0.0,0,31,,,,,,0,0,30,volume of inflow,inflow volume,inflow,1,acre-feet,acre-feet,non-instant,0,,,
100246,100003,17,100003,Marys Lake,MARYLACO,"2016-01-11 Reconfigured with redundant PE sensor and alarming capability
",,40.34,-105.53,ECO,7,,0,101900060206.0,0.0,0,0,,,,,,0,0,17,"storage, end of period reading used as value for per",storage,storage,1,acre-feet,acre-feet,either,0,,,
100251,100038,17,100038,Olympus Dam at Estes Park,OLYDAMCO,,,40.38,-105.49,ECO,7,,0,101900060207.0,0.0,0,6,,,,,,0,0,17,"storage, end of period reading used as value for per",storage,storage,1,acre-feet,acre-feet,either,0,,,
100253,100113,17,100113,Pinewood Reservoir,PINRESCO,,,40.37,-105.29,ECO,7,,0,101900060602.0,0.0,0,0,,,,,,0,0,17,"storage, end of period reading used as value for per",storage,storage,1,acre-feet,acre-feet,either,0,,,
100254,100081,17,100081,Flatiron Reservoir nr Loveland,FLARESCO,,5486.0,40.3651,-105.236,ECO,7,,0,101900060602.0,0.0,0,6,,,,,,0,0,17,"storage, end of period reading used as value for per",storage,storage,1,acre-feet,acre-feet,either,0,,,
100257,100089,17,100089,GREEN MOUNTAIN RESERVOIR,GRERESCO,,7960.0,39.878316999999996,-106.329748,ECO,7,,0,140100020504.0,0.0,0,6,,,,,,0,0,17,"storage, end of period reading used as value for per",storage,storage,1,acre-feet,acre-feet,either,0,,,
100291,100120,17,100120,HOMESTAKE RESERVOIR,HOMRESCO,,,39.366647,-106.458926,ECO,7,,0,140100030204.0,0.0,0,0,,,,,,0,0,17,"storage, end of period reading used as value for per",storage,storage,1,acre-feet,acre-feet,either,0,,,
100373,100065,17,100065,Carter Lake,CARTERCO,,,40.32,-105.21,ECO,7,,0,101900060501.0,0.0,0,6,,,,,,0,0,17,"storage, end of period reading used as value for per",storage,storage,1,acre-feet,acre-feet,either,0,,,
100387,100001,17,100001,CUCHARAS RESERVOIR,CUCRESCO,,,37.748345,-104.611097,ECO,7,,0,110200060701.0,0.0,0,6,,,,,,0,0,17,"storage, end of period reading used as value for per",storage,storage,1,acre-feet,acre-feet,either,0,,,
100403,100010,17,100010,GRANBY RESERVOIR,GRARESCO,,,40.181925,-105.871121,ECO,7,,0,140100010308.0,0.0,0,0,,,,,,0,0,17,"storage, end of period reading used as value for per",storage,storage,1,acre-feet,acre-feet,either,0,,,
100408,100091,17,100091,Horsetooth Reservoir,HORTOOCO,,,40.6,-105.17,ECO,7,,0,101900070805.0,0.0,0,0,,,,,,0,0,17,"storage, end of period reading used as value for per",storage,storage,1,acre-feet,acre-feet,either,0,,,
100413,100017,17,100017,JOHN MARTIN RESERVOIR AT CADDOA,JMRCADCO,,,38.068062,-102.937422,ECO,7,,0,110200090704.0,0.0,0,0,,,,,,0,0,17,"storage, end of period reading used as value for per",storage,storage,1,acre-feet,acre-feet,either,0,,,
100423,100100,17,100100,MEREDITH RESERVOIR (CONTENT),MERRESCO,,,38.148059,-103.747178,ECO,7,,0,110200050407.0,0.0,0,0,,,,,,0,0,17,"storage, end of period reading used as value for per",storage,storage,1,acre-feet,acre-feet,either,0,,,
100450,100031,17,100031,PUEBLO RESERVOIR NEAR PUEBLO,PUERESCO,,4850.0,38.27083,-104.725542,ECO,7,,0,110200020805.0,0.0,0,0,,,,,,0,0,17,"storage, end of period reading used as value for per",storage,storage,1,acre-feet,acre-feet,either,0,,,
100460,100032,17,100032,Ruedi Reservoir nr Basalt,RUERESCO,Ruedi Reservoir pool elevation and Rocky Fork Creek gage height (GH and GH2).,,39.36,-106.82,ECO,7,,0,140100040506.0,0.0,0,0,,,,,,0,0,17,"storage, end of period reading used as value for per",storage,storage,1,acre-feet,acre-feet,either,0,,,
100464,100049,17,100049,SHADOW MOUNTAIN RESERVOIR,SHARESCO,,8365.0,40.20720900000001,-105.84141000000001,ECO,7,,0,140100010308.0,0.0,0,0,,,,,,0,0,17,"storage, end of period reading used as value for per",storage,storage,1,acre-feet,acre-feet,either,0,,,
